#
#  ypes214092cyc 21.5 Reactions link table generated on Wed Oct 25, 2017
#
RXN0-5021	EC-2.7.7
ORNITHINE-CYCLODEAMINASE-RXN	EC-4.3.1.12
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN	EC-3.6.1
RXN-11028	EC-2.7.8
5-FORMYL-THF-CYCLO-LIGASE-RXN	EC-6.3.3.2
RXN-10022	EC-2.3.1.184
RXN1G-203	EC-1.1.1.100
RXN-14362	EC-5.3.3
RXN0-5125	EC-2.4.1.73
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.11
RXN-8655	EC-2.7.7.63
PHENYLPYRUVATE-TAUTOMERASE-RXN	EC-5.3.2.1
2OXOGLUTARATEDEH-RXN	
RXN-14986	EC-1.1.1.85
RXN0-1281	EC-1.1.1
PYRNUTRANSHYDROGEN-RXN	EC-1.6.1.2	EC-1.6.1.3
3.1.22.4-RXN	EC-3.1.22.4
TRANS-RXN-157	EC-2.7.1.69
DNA-DIRECTED-RNA-POLYMERASE-RXN	EC-2.7.7.6
ALLANTOATE-DEIMINASE-RXN	EC-3.5.3.9
2.1.1.63-RXN	EC-2.1.1.63
RXN-14277	EC-2.3.1.16
RXN0-743	EC-5.4.99.18
RXN-14207	EC-2.7.1.40
RXN-12994	EC-1.1.1.100
RXN-8642	
RXN0-6524	EC-3.1.13.1
RXN-11501	EC-3.2.1.22
RXN-11944	EC-1.8.99.1
RXN-12749	EC-4.2.1
RXN-14179	EC-3.2.1.21
RXN-8675	
RXN-14136	EC-3.1.4.46
5.3.4.1-RXN	EC-5.3.4.1
CYTIDEAM-RXN	EC-3.5.4.5
PRIBFAICARPISOM-RXN	EC-5.3.1.16
MALATE-DEHYDROGENASE-ACCEPTOR-RXN	EC-1.1.5.4
2.7.7.33-RXN	EC-2.7.7.33
RXN-15174	EC-2.7.1.69
RXN1F-10	EC-1.3.1.33
RXN-1823	EC-3.2.1.1
D-RIBULOKIN-RXN	EC-2.7.1.47
R4-RXN	EC-1.8.1
ALDOSE-1-EPIMERASE-RXN	EC-5.1.3.3
RXN1G-324	EC-2.3.1.41
RXN-9632	EC-2.3.1.41
RXN0-5146	EC-3.2.1.33
PRPPSYN-RXN	EC-2.7.6.1
AMYLOMALT-RXN	EC-2.4.1.25
RXN-11335	EC-1.1.9.1
GTP-CYCLOHYDRO-II-RXN	EC-3.5.4.25
THIOREDOXIN-REDUCT-NADPH-RXN	EC-1.8.1.9
RXN-11065	EC-3.4.16.4
ALTRODEHYDRAT-RXN	EC-4.2.1.7
RXN-10462	EC-2.3.1.15
RXN0-6725	EC-3.1.1.4
RXN-7001	EC-2.4.2.1
RXN-2881	
DEPHOSPHOCOAKIN-RXN	EC-2.7.1.24
RXN-14113	EC-3.1.4.16
RXN-15043	EC-2.3.1.51
ACNEULY-RXN	EC-4.1.3.3
RXN-12751	EC-3.1.2
RXN-14730	EC-4.3.1.29
2.3.1.184-RXN	EC-2.3.1.184
RXN0-1133	EC-2.3.1.12
RXN-9552	EC-1.1.1.100
RXN0-308	EC-2.8.1.7
TETRAACYLDISACC4KIN-RXN	EC-2.7.1.130
ACETOLACTREDUCTOISOM-RXN	EC-1.1.1.86
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6
CHORISMATE-SYNTHASE-RXN	EC-4.2.3.5
RXN-8631	EC-4.1.2.13
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	EC-2.6.1.16
GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN	EC-3.2.1.67
METHYLENETHFDEHYDROG-NADP-RXN	EC-1.5.1.5
DIHYDRODIPICSYN-RXN	EC-4.3.3.7
