#
#  ypes214092cyc 21.5 Pathways link table generated on Wed Oct 25, 2017
#
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	anaerobic glycolysis	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis III (glucokinase)
PWY-7544	pyruvate to cytochrome <i>bo</i> oxidase electron transfer	
PWY-6599	guanine and guanosine salvage II	
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	D-glucuronate catabolism	D-glucuronate degradation	glucuronic acid degradation	glucuronate degradation	&beta;-D-glucuronide degradation
GLUTSYN-PWY	glutamate biosynthesis I	
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)	
PWY-6038	citrate degradation	
TYRFUMCAT-PWY	tyrosine degradation I	tyrosine fumarate catabolism
GLYCOCAT-PWY	glycogen degradation I	glycogen catabolism
4AMINOBUTMETAB-PWY	superpathway of 4-aminobutyrate degradation	&gamma;-amino-butyrate shunt	GABA degradation
SALVPURINE2-PWY	xanthine and xanthosine salvage	
PWY-6537	4-aminobutyrate degradation II	
ORN-AMINOPENTANOATE-CAT-PWY	ornithine degradation I (proline biosynthesis)	
GLUTORN-PWY	ornithine biosynthesis	
KETOGLUCONMET-PWY	ketogluconate metabolism	
PWY-7193	pyrimidine ribonucleosides salvage I	
PWY-6630	superpathway of tyrosine biosynthesis	
PWY-841	superpathway of purine nucleotides <i>de novo</i> biosynthesis I	purine biosynthesis 2
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I	acetyl-CoA biosynthesis (from alcohol)
PWY-7089	taxiphyllin bioactivation	
PWY-5326	sulfite oxidation IV	
GALACTUROCAT-PWY	D-galacturonate degradation I	D-galacturonate catabolism	D-galacturonate degradation
PWY-5686	UMP biosynthesis	uridine-5'-phosphate biosynthesis	<i>de novo</i> biosynthesis of uridine-5'-phosphate	<i>de novo</i> biosynthesis of uridine-5'-monophosphate
XYLCAT-PWY	xylose degradation I	xylose catabolism
NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis	lipid-A-precursor biosynthesis
HOMOSER-METSYN-PWY	methionine biosynthesis I	methionine biosynthesis from homoserine	methionine biosynthesis by transsulfuration
PWY-5269	cardiolipin biosynthesis II	
PWY0-862	<i>cis</i>-dodecenoyl biosynthesis	fatty acid elongation -- unsaturated
PWY-7545	pyruvate to cytochrome <i>bd</i> terminal oxidase electron transfer	pyruvate oxidation pathway
PWY-6612	superpathway of tetrahydrofolate biosynthesis	folic acid biosynthesis	folate biosynthesis	THF biosynthesis
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	
DAPLYSINESYN-PWY	lysine biosynthesis I	lysine and diaminopimelate biosynthesis
PWY-6910	hydroxymethylpyrimidine salvage	HMP salvage
PWY0-1264	biotin-carboxyl carrier protein assembly	BCCP assembly
MET-SAM-PWY	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis	
DETOX1-PWY-1	reactive oxygen species degradation (mammalian)	removal of superoxide radicals
PWY-7411	superpathway phosphatidate biosynthesis (yeast)	
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	
PWY-5461	betanidin degradation	
PWY0-501	lipoate biosynthesis and incorporation I	
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	nicotinamide adenine dinucleotide salvage
PWY-6609	adenine and adenosine salvage III	adenosine nucleotides salvage III
PWY-6123	inosine-5'-phosphate biosynthesis I	IMP biosynthesis I
PWY0-662	PRPP biosynthesis I	5-phosphoribosyl 1-pyrophosphate biosynthesis
PWY-6629	superpathway of tryptophan biosynthesis	
PWY-1622	formaldehyde assimilation I (serine pathway)	
ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	
PWY-6012	acyl carrier protein metabolism I	[acp] metabolism	ACP metabolism
ILEUDEG-PWY	isoleucine degradation I	
PWY0-381	glycerol and glycerophosphodiester degradation	
PWY-5436	threonine degradation IV	
PWY-5148	acyl-CoA hydrolysis	acyl-CoA thioesterase pathway
RHAMCAT-PWY	L-rhamnose degradation I	rhamnose catabolism	rhamnose degradation
PWY-1269	CMP-KDO biosynthesis I	3-deoxy-D-<I>manno</I>-octulosonate biosynthesis
PWY-5482	pyruvate fermentation to acetate II	
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	ureide biogenesis	inosine 5'-phosphate degradation	IMP degradation	urate biosynthesis
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	
PWY-6891	thiazole biosynthesis II (Bacillus)	2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate biosynthesis
PWY-6605	adenine and adenosine salvage II	adenosine nucleosides salvage II
IDNCAT-PWY	L-idonate degradation	L-idonic acid catabolism	L-idonate catabolism
PWY-5155	&beta;-alanine biosynthesis III	
METSYN-PWY	homoserine and methionine biosynthesis	
PWY0-981	taurine degradation IV	
PWY-6675	sulfur oxidation IV (intracellular sulfur)	
