# 
#
# Authors:
#    Pallavi Subhraveti
#    Quang Ong
#    Tim Holland
#    Anamika Kothari
#    Ingrid Keseler
#    Ron Caspi
#    Peter D Karp
#
# Please see the license agreement regarding the use of and distribution of this file.
# The format of this file is defined at http://bioinformatics.ai.sri.com/ptools/flatfile-format.html .
#
# Species: Yersinia pestis CO92
# Database: ypes214092cyc
# Version: 21.5
# File Name: genes.dat
# Date and time generated: October 25, 2017, 2:34:37
#
# Attributes:
#    UNIQUE-ID
#    TYPES
#    COMMON-NAME
#    ACCESSION-1
#    ACCESSION-2
#    CENTISOME-POSITION
#    CITATIONS
#    COMMENT
#    COMPONENT-OF
#    COPY-NUMBER
#    CREDITS
#    DATA-SOURCE
#    DBLINKS
#    DOCUMENTATION
#    HIDE-SLOT?
#    INTERRUPTED?
#    LAST-UPDATE
#    LEFT-END-POSITION
#    MEMBER-SORT-FN
#    PATHOLOGIC-NAME-MATCHER-EVIDENCE
#    PATHOLOGIC-PWY-EVIDENCE
#    REGULATED-BY
#    RIGHT-END-POSITION
#    SYNC-W-ORTHOLOG
#    SYNONYMS
#    UNMAPPED-COMPONENT-OF
#
UNIQUE-ID - GKDD-2516
TYPES - ORFs
COMMON-NAME - yicN
ACCESSION-1 - YPO2654
CENTISOME-POSITION - 64.06763    
COMPONENT-OF - TUKDD-2522
COMPONENT-OF - NC_003143-100
DBLINKS - (INTERPRO "IPR009587" IN-FAMILY |kaipa| 3616520114 NIL NIL)
DBLINKS - (NCBI-GENE "1175486" NIL |kaipa| 3616520114 NIL NIL)
LEFT-END-POSITION - 2981533
PRODUCT - GKDD-2516-MONOMER
RIGHT-END-POSITION - 2981982
TRANSCRIPTION-DIRECTION - -
//
UNIQUE-ID - GKDD-3299
TYPES - Unclassified-Genes
ACCESSION-1 - YPO3479
CENTISOME-POSITION - 83.47738    
COMPONENT-OF - TUKDD-2026
COMPONENT-OF - NC_003143-131
DBLINKS - (INTERPRO "IPR001539" IN-FAMILY |kaipa| 3616520117 NIL NIL)
DBLINKS - (NCBI-GENE "1176296" NIL |kaipa| 3616520117 NIL NIL)
LEFT-END-POSITION - 3884810
PRODUCT - GKDD-3299-MONOMER
RIGHT-END-POSITION - 3885805
TRANSCRIPTION-DIRECTION - +
//
UNIQUE-ID - GKDD-3592
TYPES - Unclassified-Genes
COMMON-NAME - hemG
ACCESSION-1 - YPO3761
CENTISOME-POSITION - 90.761604    
COMMENT - catalyzes the oxidation of protoporphyrinogen IX to form protoporphyrin IX
COMPONENT-OF - TUKDD-2182
COMPONENT-OF - NC_003143-142
DBLINKS - (INTERPRO "IPR001226" IN-FAMILY |kaipa| 3616520118 NIL NIL)
DBLINKS - (INTERPRO "IPR008254" IN-FAMILY |kaipa| 3616520118 NIL NIL)
DBLINKS - (NCBI-GENE "1176596" NIL |kaipa| 3616520118 NIL NIL)
LEFT-END-POSITION - 4223798
PRODUCT - GKDD-3592-MONOMER
RIGHT-END-POSITION - 4224331
TRANSCRIPTION-DIRECTION - -
//
UNIQUE-ID - GKDD-3715
TYPES - Unclassified-Genes
ACCESSION-1 - YPO3881
CENTISOME-POSITION - 93.64432    
COMPONENT-OF - TUKDD-2249
COMPONENT-OF - NC_003143-147
DBLINKS - (INTERPRO "IPR001829" IN-FAMILY |kaipa| 3616520118 NIL NIL)
DBLINKS - (INTERPRO "IPR008962" IN-FAMILY |kaipa| 3616520118 NIL NIL)
DBLINKS - (NCBI-GENE "1176719" NIL |kaipa| 3616520118 NIL NIL)
LEFT-END-POSITION - 4357952
PRODUCT - GKDD-3715-MONOMER
RIGHT-END-POSITION - 4358698
TRANSCRIPTION-DIRECTION - +
//
UNIQUE-ID - GKDD-482
TYPES - ORFs
ACCESSION-1 - YPO0503
CENTISOME-POSITION - 11.529489    
COMPONENT-OF - TUKDD-387
COMPONENT-OF - NC_003143-18
DBLINKS - (INTERPRO "IPR010745" IN-FAMILY |kaipa| 3616520106 NIL NIL)
